,url,address,title,area,bedrooms,bathrooms,garages,price,date
84,vivareal.com/imovel/apartamento-2-quartos-bela-vista-bairros-sao-jose-com-garagem-77m2-venda-RS319000-id-2510791233/,"Avenida Osvaldo José do Amaral - Bela Vista, São José - SC","Apartamento com 2 Quartos à Venda, 77m²
",77,2,2,1,319000,2021-04-28 
85,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-96m2-venda-RS398000-id-2517194099/,"Rua Coronel Américo, 0 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 96m²
",96,3,3,1,398000,2021-04-28 
86,vivareal.com/imovel/apartamento-2-quartos-sao-jose-60m2-venda-RS185000-id-2515901224/,"Avenida Salvador Di Bernardi, 328 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 60m²
",60,2,1,--,185000,2021-04-28 
88,vivareal.com/imovel/apartamento-4-quartos-campinas-bairros-sao-jose-com-garagem-115m2-venda-RS480000-id-2514150435/,"Rua Osni João Vieira, 615 - Campinas, São José - SC","Apartamento com 4 Quartos à Venda, 115m²
",115,4,3,1,480000,2021-04-28 
89,vivareal.com/imovel/apartamento-1-quartos-kobrasol-bairros-sao-jose-com-garagem-55m2-venda-RS189000-id-2509925586/,"Rua Antônio Scherer - Kobrasol, São José - SC","Apartamento com  Quarto à Venda, 55m²
",55,1,1,1,189000,2021-04-28 
90,vivareal.com/imovel/apartamento-3-quartos-praia-comprida-bairros-sao-jose-com-garagem-57m2-venda-RS175000-id-2517489262/,"Praia Comprida, São José - SC","Apartamento com 3 Quartos à Venda, 57m²
",57,3,1,1,175000,2021-04-28 
91,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-48m2-venda-RS146000-id-2500916688/,"Areias, São José - SC","Apartamento com 2 Quartos à Venda, 48m²
",48,2,1,1,146000,2021-04-28 
92,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-94m2-venda-RS500000-id-2492822507/,"Rua João Saturnino Ouriques - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,2,500000,2021-04-28 
93,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-61m2-venda-RS193900-id-2515202446/,"Areias, São José - SC","Apartamento com 2 Quartos à Venda, 61m²
",61,2,1,1,193900,2021-04-28 
95,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-76m2-venda-RS339000-id-2491085581/,"Rua Maria Justina Cunha, 1406 - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 76m²
",76,3,2,1,339000,2021-04-28 
96,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-80m2-venda-RS460000-id-2508443515/,"Rua Santo Antônio, 855 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 80m²
",80,3,2,2,460000,2021-04-28 
